model,landscape,replicates,tuning_landscape,cv_fold,sequence_length,data_split,pearson_r,r2,mse_loss
cnn,k1,r0,True,0,10,train,0.9992311855145236,0.9982192516326904,3.550806542153697e-05
cnn,k1,r0,True,0,10,test,0.9992171804766432,0.998216986656189,3.5570184991229326e-05
cnn,k1,r0,True,0,100,train,0.6557450975909032,0.4298739433288574,0.011351881775300245
cnn,k1,r0,True,0,100,test,0.6509748420202437,0.423759400844574,0.011425488721579313
cnn,k1,r0,True,0,250,train,0.6657408745321693,0.4424282908439636,0.011107418367205418
cnn,k1,r0,True,0,250,test,0.6697212030719633,0.4475388526916504,0.011163670912777124
cnn,k1,r5,False,0,10,train,0.9989422910425124,0.997748851776123,4.668917225333988e-05
cnn,k1,r5,False,0,10,test,0.9988872993856497,0.9976381063461304,4.763587094203103e-05
cnn,k1,r5,False,0,100,train,0.6452961897143497,0.4162275791168213,0.012088413627163784
cnn,k1,r5,False,0,100,test,0.6359770005446821,0.40378355979919434,0.012250101566314698
cnn,k1,r5,False,0,250,train,0.645473097236837,0.41630977392196655,0.012100354640757384
cnn,k1,r5,False,0,250,test,0.6363333135264788,0.40372157096862793,0.012230606798670794
cnn,k1,r4,False,0,10,train,0.9994867892184597,0.9989357590675354,2.439329742825263e-05
cnn,k1,r4,False,0,10,test,0.9994563482990663,0.9988766312599182,2.5293689941463526e-05
cnn,k1,r4,False,0,100,train,0.538844957628613,0.28851938247680664,0.01628675820255602
cnn,k1,r4,False,0,100,test,0.5405011122492813,0.29126548767089844,0.016180549189448355
cnn,k1,r4,False,0,250,train,0.6485006219567288,0.41940993070602417,0.0132912290729072
cnn,k1,r4,False,0,250,test,0.648506280053077,0.4198567867279053,0.01326515657925292
cnn,k1,r7,False,0,10,train,0.999297029367087,0.9985437393188477,3.549572539742331e-05
cnn,k1,r7,False,0,10,test,0.9992675234094492,0.9984835982322693,3.683647300931625e-05
cnn,k1,r7,False,0,100,train,0.6623139221298407,0.438210666179657,0.013664084159441897
cnn,k1,r7,False,0,100,test,0.6591185737379206,0.4338698387145996,0.01379264760762453
cnn,k1,r7,False,0,250,train,0.7590117505115938,0.5760788917541504,0.01030959580603936
cnn,k1,r7,False,0,250,test,0.7629643882779034,0.5821141004562378,0.010006510309482875
cnn,k1,r2,False,0,10,train,0.9994248027109006,0.9980647563934326,4.095295337941246e-05
cnn,k1,r2,False,0,10,test,0.9993971687398076,0.998003363609314,4.234223706589546e-05
cnn,k1,r2,False,0,100,train,0.655973318101932,0.4298100471496582,0.01208256308392093
cnn,k1,r2,False,0,100,test,0.6457673593994672,0.41579604148864746,0.012044643145054578
cnn,k1,r2,False,0,250,train,0.7132070801786845,0.5083647966384888,0.010397951424836295
cnn,k1,r2,False,0,250,test,0.7051581462767706,0.49714595079421997,0.010546504715947728
